Hytera PD 505,"ProGlobal Work reprezentant oficial Hytera in Moldova
", 220 
Hytera BD 555,"ProGlobal Work reprezentant oficial Hytera in Moldova
!!!OFERTE LA SUPER PRET DOAR LA NOI!!!
", 200 
Alan 516,"2шт. в рабочем состоянии, удобные на все случаи....охота, рыбалка..... ....инструкции по пользованию, характеристика на сайте:  ", 60 
Statii radio Kenwood радиостанции Kenwood,"Compania Tahograf SRL este dealerul oficial statiilor radio Kenwood in Republica MOLDOVA 
Va oferim asortiment larg de statii de radio kenwood  si accesorii la acestea precum oferim si asistenta tehnica.


Tahograf SRL является официальным дилером радиостанции Kenwood в Молдове
Мы предлагаем вам  широкий спектр радиостанций Kenwood и аксессуаров к ним и профессиональные услуги по ремонту.

", 1 
Kenwood tk-2000 tk-3000,"

РАЦИИ KENWOOD TK-2000/KENWOOD TK-3000

Радиостанции переносного типа от японского бренда KENWOOD семейства TK-2000 и TK-3000 способны обеспечить надежное и, самое главное, бесперебойное установление связи при любых метеоусловиях и в любой ситуации. Радиостанции этого семейства обладают следующими отличительными характеристиками - относительно небольшие габариты и минимальный вес (в комплекте с литий-ионным аккумулятором 203 грамма), а также отсутствие каких-либо требований в подготовке к роботе со станцией. Способ ношения станции предусмотрен в различных вариантах (в чехле, на разгрузке, в кармане, на поясном креплении). Серийный выпуск стартовал в 2011 году.



Японские радиостанции Kenwood моделей tk-2000/tk-3000 обеспечивают высокий уровень передачи звука, сохраняя параметры голоса благодаря использованию широкополосного громкоговорителя. В устройствах реализована программируемая чувствительность микрофона (для моделей Kenwood tk-2000 программирование реализовано на двух уровнях и для Kenwood tk-3000 программирование реализовано на трех уровнях чувствительности). Радиостанции полностью отвечают нормам международного стандарта передачи информации MIL-STD-810 С/D/E/F/G, а также IP54, благодаря чему их можно использовать в сложных условиях, таких как влияние высоких температур окружающей среды, вибраций, запыленности, а также воздействие физических факторов.

В радиостанциях Kenwood tk-2000 и Kenwood tk-3000 реализована функция VOX-связи. Использование VOX-связи дает возможность посредством активации голосом устанавливать связь и отвечать на вызовы, при этом, не прибегая к активации через нажатие. Функция VOX-связи регулируется по уровню внешнего шума (для моделей Kenwood tk-2000 и Kenwood tk-3000 программирование реализовано на десяти уровнях чувствительности).

Полный комплект радиостанции включает в себя следующие элементы:

сама станция;

техническая документация;

аккумулятор
устройство для зарядки;

антенна;

винты, заглушка, клипса.", 130 
Baofenng LPD + Hob 6 мес гарантия,BAOFENNG LPD + HOB 6мес гарантия, договорная 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Rații,"Sunt noi, nu sa folosit de ele 
Urgent", договорная 
Ts-850sat,Ts-850sat. Ft-920.  Ft-950.  --В отличном состоянии  / подобно новому/  Цена договорная., договорная 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Puxing PX-2R (обновленная плюс версия),"2 buc Puxing PX-2R (обновленная плюс версия) двойной приемник двухстороннее радио 400-470 МГц Мини компактная рация, UHF TX/RX + VHF RX PX2R", 60 
Глушилка - Bruiaj,"Descriere Produs
Jammer mobil, blocheaza toate benzile prin intermediul a 12 antene (este echipat cu 12 emițătoare). Fiecare dintre ele funcționează pe o singura antena, care genereaza semnale specifice pentru ficare frecventa in parte, de până la 70 de metri, raza de interdictie pentru  toate dispozitivele mobile. Cat timp jammerul este in functiune, toate dispozitivele nu vor mai putea trimite mesaje și nici trimite sau primi apeluri, pierde capacitatea de a accesa Internetul, bruiaza toate stațiile de poziționare GPS, etc. Prin urmare, va este garantata intimitatea discutiilor, prezentei Dvs., întâlnirii sau negocierii. Aparatul poate fi folosit in conferințe științifice, seminarii, birouri, scoli, examene, biserici, penitenciare, birouri de avocatura, intalniri de afaceri, etc. Acest aparat previne ""scurgerea"" de informații.
Blocheaza/bruiaza inclusiv statiile de emisie receptie (walkie talkie) , microfoanele ascunse si camerele video ascunse.

Specificatii:
Model 2: JYT-1200B
CDMA 800: 850 la 894MHz
GSM 900: 925 la 960MHz
GSM 1800: 1805 la 1,880MHz (DCS)
GSM 1900: 1920 la 1,990MHz (PCS)
3G: 2110 de 2,170MHz
GPS: 1570-1580MHz
WIFI2.4G: 2400-2500MHz
VHF: 135-174MHz
UHF: 400-470MHz
4G LTE: 725-770MHZ (America de Standard)
  Sau 790-826MHZ (standardul european)
4GWimax: 2345-2400MHZ (America de Standard)
  Sau 2620-2690MHZ (standardul european)
433: 433MHz

Putere totală de ieșire: 30W
Interval de bruiaj: până la 70m, raza de bruiaj depinde de puterea semnalului din zona in care este amplasat aparatul.
Antene externe omni-direcționale
Sursă de alimentare: 50 - 60Hz, de la 100 la 240V AC
Cu adaptor AC (AC100-240V-DC12V, consum de curent: 15 A),
Dimensiuni: 330x 238 x 60mm
Greutate aparat: 6.0 kg
Avantaje:
1. sistem de răcire cu ventilator intern
2. se poate regla si opri orice banda (antena)
3. functionare non-stop
4. Stabilitate in timp
5. poate fi utilizat in masina, cu incarcator de masina.", 1 000 
Рация +антена.Вхорошем состояне.,АЛИНКА.+АНТЕНА., договорная 
"Рации портативные, Statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Радиостанция .антенна,Рация антенна Ремонт раций, 1 000 
"Обслуживание раций, профессиональных и любительских радиостанций и другого радиооборудования Устано","Обслуживание раций, профессиональных и любительских радиостанций и другого радиооборудования
Установка, настройка, доработка, продажа Си-Би (CB) радиостанций и антенн.
Предлагаем услуги по ремонту раций любой сложности.
Кроме ремонта мы предоставляем следующие услуги:
-перепаковка аккумуляторов
-ремонт антенн
-диагностика и профилактика радиостанций
-программирование носимых раций
-перепрошивка автомобильных с ""пятерок"" в ""нули"" и наоборот
Ремонт радиостанций, источников питания и прочего оборудования связи
Монтаж автомобильных и базовых радиостанций с выездом к заказчику
Подстройка параметров радиостанций для регистрации 
Настройка антенно-фидерных систем, автомобильных антенн
Переборка аккумуляторных батарей отслуживших свой срок службы
Настройка и сопряжение раций
Ремонт НЧ (звукового) тракта
Ремонт ВЧ (радио) тракта
Ремонт или замена разъема
Ремонт или замена кнопок
Ремонт или замена регуляторов
Ремонт цепей питания
Электрический ремонт платы
Перепрограммирование рации 


Стоимость услуги складывается из стоимости работы и запасных частей. Если дефект непонятен, то сначала проводится бесплатная диагностика. По окончании ремонта предоставляется гарантия на выполненные работы и все установленные запчасти.

tag:  MegaJet, Alan, Optim, Maycom, Vector, Intek, Yosan, Midland, President, Таис, Albrecht, Alinco.Motorola,Kenwood,Yaesu,Icom
Основные характеристики", договорная 
"Рации портативные, Statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Рация,Рация.., 1 000 
Midland,Statie+antena, 50 
Retevis RT 628 Walkie Talkie.  Портативные радиостанции пара 2 шт.  446 MHz.  QCY---беспроводные сте,"Retevis RT 628 Walkie Talkie.

Портативные радиостанции пара 2 шт.

446 MHz.

Цена 469 лей.

2. QCY---беспроводные стереонаушники с микрофоном --- 350-450 lei.

3. Wireless audio Transmitter Receiver ---180 lei.", договорная 
"Рации портативные, Statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Мидланд  Алан 42. ремонт,Мидланд  Алан 42. РЕМОНТ, договорная 
Рация .антена,рация .антена, 1 000 
Baofeng,Sunt noi., 100 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Рации,"Рация  – это простая, удобная, компактная и недорогая модель, которая предназначена для семейного использования. Устройство можно применять в магазине, на пляже, в лесу на отдыхе, благодаря чему ребенок всегда будет на связи и не потеряется среди толпы.

", 930 
Рация .антена,рация. антена, 1 000 
Radio staţiile Motorola. Livram! Posibil si in credit. Cele mai bune preturi.,Radio staţiile Motorola: , договорная 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Statie radio Motorola Talkabout T82 Twin disponibil în credit,"Codul produsului : 78058
Pentru mai multe detalii despre produs accesați linkul :", 2 550 
G6XT,SAU scimb..., договорная 
Baofeng uv-x9 plus10watt dual ptt новые и мощные,"дальность 10-15 км
Дисплей Да
Тип рации ПортативнаяАртикул BAOFENG UV-X9 Plus 10W 
Размеры 58mmX110mmX32mmДиапазон Частоты 136-174MHz & 400-520MHz
Канал Хранения 128
Материал Пластик
Бренд BAOFENG
Output power 10Watts
Color Black/CamoVersion upgraded of uv-82Battery 2800mAhPTT 2-PTTType Two Way Radio", 45 
Радиостанция,"Используется для тестирование отказоустойчивость

Приватные беседы
Сдача экзаменов
Анти отслеживание
Блокировка телефонов
Блокировка автомобильных брелков
...

Глушит CDMA / GSM / DCS / 2G / 3G / 4G / WIFI / GPS/ BD и другие беспроводные сигнала

WIFI Jammer
GPS Jammer
GSM Jammer
3G Jammer
2G Jammer
WIFI Глушилка
GPS Глушилка
GSM Глушилка
3G Глушилкп
2G Jammer
WIFI Bruiaj
GPS Bruiaj
GSM Bruiaj
3G Bruiaj
2G Bruiaj
Signal Jammer
Aparat de bruiaj", 200 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Генераторная лампа гм 100 (gm 100),"ГМ-100 - генераторная лампа средней мощности, работающая в схемах усиления мощности низкой (звуковой) частоты

Звонить", договорная 
Радиостанция,Радиостанция, договорная 
Продаю рации Busch X100 новые в упаковке.,Продаю рации Busch X100 новые в упаковке. Возможен обмен. Радиус до 2км, 400 
Хит 2019!!!baofeng uv-x9 plus10watt dual ptt новые и мощные,"дальность 10-15 км
Дисплей Да
Тип рации ПортативнаяАртикул BAOFENG UV-X9 Plus 10W 
Размеры 58mmX110mmX32mmДиапазон Частоты 136-174MHz & 400-520MHz
Канал Хранения 128
Материал Пластик
Бренд BAOFENG
Output power 10Watts
Color Black/CamoVersion upgraded of uv-82Battery 2800mAhPTT 2-PTTType Two Way Radio", 45 
Радиостанции и комплектующие к ним.,"Motorola, Kenwood, Icom, Alinko, Vertex, Standard, Baufeng, acumulatoare si incarcatoare pentru ele. Cabluri, programmare.", договорная 
Рации Motorola Talkabout T82 Extreme Statii radio SET,"# Доставка по всей Молдове за 24 часа
# Бесплатная доставка по Кишиневу за 4 часа.
# Гарантия 1 год
# Возможна покупка в кредит
**********************************************************
# Livrarea în toată Moldova în 24 de ore
# Livrare gratuită în Chișinău — 4 ore.
# Garanție 1 an
# Posibilă cumpărare în credit


Сылка для заказа/ Link direct :
______________________________
", 2 890 
Советский ключ для азбуки морзе,"Ключ для азбуки Морзе. Производство СССР. Полностью рабочий
обмен на рацию baofeng uv-5r (или подобную) с моей небольшой доплатой", 30 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 640 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
